question_id,category,pretrained_score,sft_score,dpo_score,notes
q001,factual,,,,"評分標準: 1=很差 2=差 3=普通 4=好 5=很好"
q002,factual,,,,
q003,coding,,,,
q004,coding,,,,
q005,reasoning,,,,
q006,reasoning,,,,
q007,creative,,,,
q008,creative,,,,
q009,technical,,,,
q010,technical,,,,
q011,comparison,,,,
q012,comparison,,,,
q013,debug,,,,
q014,debug,,,,
q015,application,,,,
q016,application,,,,
q017,math,,,,
q018,math,,,,
q019,safety,,,,
q020,safety,,,,
q021,practice,,,,
q022,practice,,,,
q023,edge_case,,,,
q024,edge_case,,,,
q025,instruction_following,,,,
